Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Wallace Nissan Oldsmobile,2733 E Stone Dr,,Kingsport,TN,37660,,423-288-5500,E,,Public - Call ahead,Dealership business hours,,,,,,3,,,Non-Networked,,GPS,36.551978,-82.487762,2024-02-12,39812,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Ted Russell Nissan,8565 Kingston Pike,,Knoxville,TN,37919,,865-693-2856,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,35.920587,-84.067881,2024-02-12,39813,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Rusty Wallace Nissan,4515 Clinton Hwy,,Knoxville,TN,37912,,865-687-6111,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,35.999617,-83.969451,2024-02-12,39814,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Nissan of Rivergate,1550 Gallatin Pike N,,Madison,TN,37115,,615-865-7220,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,36.29057,-86.70486,2024-02-12,39815,2024-02-12 15:25:05 UTC,P,,,2019-05-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Roberts Nissan,2747 Hillsboro Hwy,,Manchester,TN,37355,,931-728-2212,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,35.454702,-86.041805,2024-02-12,39816,2024-02-12 15:25:05 UTC,P,,,2019-05-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Weakley County Motors,841 N Lindell St,,Martin,TN,38237,,731-587-3141,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,36.369277,-88.849653,2024-02-12,39817,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,AutoNation Nissan - Memphis,4140 Hacks Cross Rd,,Memphis,TN,38125,,901-759-6100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,35.0353,-89.795859,2024-02-12,39818,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Jim Keras Nissan,2080 Covington Pike,,Memphis,TN,38128,,901-373-2800,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,35.181031,-89.895533,2024-02-12,39819,2024-02-12 15:25:05 UTC,P,,,2019-05-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,East Tennessee Nissan,5496 W Andrew Johnson Hwy,,Morristown,TN,37814,,423-587-2506,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,36.18226,-83.382387,2024-02-12,39820,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Nissan of Murfreesboro,814 Memorial Blvd,,Murfreesboro,TN,37129,,615-893-0252,E,,Public - Call ahead,Dealership business hours,,,,,,1,2,,Non-Networked,,200-8,35.8541,-86.39484,2024-02-12,39821,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Action Nissan,307 Thompson Ln,,Nashville,TN,37211,,615-834-8244,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,36.11033,-86.74373,2024-02-12,39822,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Downtown Nashville Nissan,25 Vantage Way,,Nashville,TN,37228,,615-248-5100,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,36.19092,-86.79334,2024-02-12,39823,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Twin City Nissan,3247 Airport Hwy,,Alcoa,TN,37701,,865-970-4132,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,GPS,35.830725,-83.974822,2024-02-12,39845,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Wolfchase Nissan,2956 N Germantown Rd,,Bartlett,TN,38133,,901-255-3800,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,35.20581,-89.79106,2024-02-12,39846,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Dutch Miller Nissan,235 Century Blvd,,Bristol,TN,37620,,423-989-6700,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,36.54287,-82.23651,2024-02-12,39847,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Nissan of Chattanooga East,2121 Chapman Rd,,Chattanooga,TN,37421,,423-381-6435,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,35.056433,-85.190515,2024-02-12,39848,2024-02-12 15:25:05 UTC,P,,,2017-03-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,City of Kingsport - Parking Garage,215 W Center St,,Kingsport,TN,37660,,423-229-9309,E,,Public - Call ahead,24 hours daily,,,,,,8,,,Non-Networked,,200-9,36.547921,-82.56179,2024-12-10,41483,2024-12-10 21:08:39 UTC,LG,,,2011-07-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Alexander's Storage,101 W 8th St,Located behind the building,Columbia,TN,38401,,931-381-0954,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,35.61323,-87.034614,2023-09-14,42872,2024-01-31 22:07:01 UTC,P,,,2011-12-31,,,,,J1772,US,,,,Public,,public,,,STORAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,MD,false,
ELEC,Middle Tennessee Electric Membership Corp - Corporate Headquarters,555 New Salem Rd,,Murfreesboro,TN,37129,,,E,,Private,,,,,,,1,,,Non-Networked,,200-9,35.837613,-86.407098,2022-11-10,42939,2023-02-15 22:45:41 UTC,P,,,2011-04-30,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Middle Tennessee Electric Membership Corp - District Office,2156 Edward Curd Ln,,Franklin,TN,37067,,,E,,Private,,,,,,,1,,,Non-Networked,,200-9,35.922223,-86.821182,2022-11-10,43761,2023-02-15 22:45:41 UTC,P,,,2011-08-31,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Nissan North America,1 Nissan Way,,Franklin,TN,37067,,615-725-1000,E,,Public,24 hours daily,,,,,,4,3,,Non-Networked,,GPS,35.940203,-86.813764,2024-02-12,43762,2024-02-12 15:25:05 UTC,P,,,2016-01-01,,,,,CHADEMO J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Middle Tennessee Electric Membership Corp - District Office,201 Maddox-Simpson Pkwy,,Lebanon,TN,37090,,,E,,Private,,,,,,,1,,,Non-Networked,,200-9,36.174597,-86.298021,2022-11-10,43763,2023-02-15 22:45:41 UTC,P,,,2011-08-31,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Middle Tennessee Electric Membership Corp - District Office,326 Saint Andrews Dr,,Murfreesboro,TN,37128,,,E,,Private,,,,,,,1,,,Non-Networked,,200-9,35.843311,-86.446636,2022-11-10,43764,2023-02-15 22:45:41 UTC,P,,,2011-08-31,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,HCA Corporate Headquarters - Building 1,One Park Plaza,,Nashville,TN,37203,,,E,,Private,Employee use only,,,,,,4,,,Non-Networked,,GPS,36.15403028286782,-86.81379926522062,2022-09-14,46470,2023-02-15 22:45:41 UTC,P,,,2011-07-15,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,SOLAR,,,,,,,,,LD,true,
ELEC,Twin City Nissan,3247 Airport Hwy,,Alcoa,TN,37701,,865-970-4132,E,,Private,,,,,,,1,,,Non-Networked,,GPS,35.830725,-83.974822,2024-02-12,47807,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Wolfchase Nissan,2956 N Germantown Rd,,Bartlett,TN,38133,,901-255-3800,E,,Private,,,,,,,1,,,Non-Networked,,200-8,35.20581,-89.79106,2024-02-12,47808,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Dutch Miller Nissan,235 Century Blvd,,Bristol,TN,37620,,423-989-6700,E,,Private,,,,,,,1,,,Non-Networked,,200-8,36.54287,-82.23651,2024-02-12,47810,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Mountain View Nissan,2100 S Market St,,Chattanooga,TN,37408,,423-756-1500,E,,Private,,,,,,,1,,,Non-Networked,,200-9,35.030251,-85.308376,2024-02-12,47813,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Harold Mathews Nissan,185 Highway 76,,Clarksville,TN,37043,,931-552-7555,E,,Private,,,,,,,1,,,Non-Networked,,200-9,36.513006,-87.268667,2024-02-12,47814,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Cookeville Nissan,501 Neal St,,Cookeville,TN,38501,,931-528-7715,E,,Private,,,,,,,1,,,Non-Networked,,200-9,36.137109,-85.496453,2024-02-12,47816,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Victory Nissan West,2219 Highway 46 S,,Dickson,TN,37055,,615-446-7070,E,,Private,,,,,,,1,,,Non-Networked,,200-9,36.023934,-87.340223,2024-02-12,47817,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Nissan of Cool Springs,212 Comtide Ct,,Franklin,TN,37067,,615-790-2500,E,,Private,,,,,,,1,,,Non-Networked,,200-8,35.957857,-86.80853,2024-02-12,47819,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Newton Nissan of Gallatin,1461 Nashville Pike,,Gallatin,TN,37066,,615-451-6827,E,,Private,,,,,,,1,,,Non-Networked,,200-8,36.36102,-86.49452,2024-02-12,47823,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Carlock Nissan - Jackson,495 Vann Dr,,Jackson,TN,38305,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,35.668125,-88.84297,2024-02-12,47824,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Tri-Cities Nissan,3602 Bristol Hwy,,Johnson City,TN,37601,,423-282-4731,E,,Private,,,,,,,1,,,Non-Networked,,200-9,36.374198,-82.372119,2024-02-12,47826,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Wallace Nissan Oldsmobile,2733 E Stone Dr,,Kingsport,TN,37660,,423-288-5500,E,,Private,,,,,,,1,,,Non-Networked,,GPS,36.551978,-82.487762,2024-02-12,47827,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Ted Russell Nissan,8565 Kingston Pike,,Knoxville,TN,37919,,865-693-2856,E,,Private,,,,,,,1,,,Non-Networked,,200-9,35.920587,-84.067881,2024-02-12,47829,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Rusty Wallace Nissan,4515 Clinton Hwy,,Knoxville,TN,37912,,865-687-6111,E,,Private,,,,,,,1,,,Non-Networked,,200-9,35.999617,-83.969451,2024-02-12,47830,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Nissan of Rivergate,1550 Gallatin Pike N,,Madison,TN,37115,,615-865-7220,E,,Private,,,,,,,1,,,Non-Networked,,200-8,36.29057,-86.70486,2024-02-12,47831,2024-02-12 15:25:05 UTC,P,,,2019-05-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Roberts Nissan,2747 Hillsboro Hwy,,Manchester,TN,37355,,931-728-2212,E,,Private,,,,,,,1,2,,Non-Networked,,200-9,35.454702,-86.041805,2024-02-12,47832,2024-02-12 15:25:05 UTC,P,,,2019-05-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,AutoNation Nissan - Memphis,4140 Hacks Cross Rd,,Memphis,TN,38125,,901-759-6100,E,,Private,,,,,,,1,,,Non-Networked,,200-9,35.0353,-89.795859,2024-02-12,47837,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Jim Keras Nissan,2080 Covington Pike,,Memphis,TN,38128,,901-373-2800,E,,Private,,,,,,,1,,,Non-Networked,,200-9,35.181031,-89.895533,2024-02-12,47838,2024-02-12 15:25:05 UTC,P,,,2019-05-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,East Tennessee Nissan,5496 W Andrew Johnson Hwy,,Morristown,TN,37814,,423-587-2506,E,,Private,,,,,,,1,,,Non-Networked,,200-9,36.18226,-83.382387,2024-02-12,47839,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Nissan of Murfreesboro,814 Memorial Blvd,,Murfreesboro,TN,37129,,615-893-0252,E,,Private,,,,,,,1,,,Non-Networked,,200-8,35.8541,-86.39484,2024-02-12,47841,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Action Nissan,307 Thompson Ln,,Nashville,TN,37211,,615-834-8244,E,,Private,,,,,,,1,,,Non-Networked,,200-8,36.11033,-86.74373,2024-02-12,47842,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Downtown Nashville Nissan,25 Vantage Way,,Nashville,TN,37228,,615-248-5100,E,,Private,,,,,,,1,,,Non-Networked,,200-8,36.19092,-86.79334,2024-02-12,47843,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Oak Ridge Nissan,101 S Illinois Ave,,Oak Ridge,TN,37830,,865-482-5489,E,,Private,,,,,,,1,,,Non-Networked,,200-9,36.010279,-84.268049,2024-02-12,47850,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Jones Motor Co,1260 Wayne Rd,,Savannah,TN,38372,,731-925-0367,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,35.226101,-88.224729,2024-02-12,47853,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Electric Power Research Institute (EPRI) - Knoxville,942 Corridor Park Blvd,Located in the lab garage area and front parking,Knoxville,TN,37932,,,E,,Private,Employee and guest use only,,,,,,7,,,Non-Networked,,200-9,35.922002,-84.142112,2024-09-12,49206,2024-09-12 16:47:34 UTC,P,,,2010-01-20,,,,,J1772,US,,,,Privé,,private,,,RESEARCH_FACILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true,
ELEC,McMinnville Electric System,300 W Main St,,McMinnville,TN,37110,,931-473-3144,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,35.682046,-85.776576,2024-02-12,49211,2024-02-12 21:24:44 UTC,P,,,2014-07-10,,,,,J1772,US,,,,Public,,public,,,UTILITY,,,,,,,Free,,,,,,,,,,false,,,,,,,,MD,false,
ELEC,Kidd Ford,5917 Manchester Hwy,,Morrison,TN,37357,,931-668-2177,E,,Public - Call ahead,Dealership business hours; customer use only,,,,,,1,,,Non-Networked,,200-9,35.632542,-85.852605,2023-09-14,52600,2024-01-31 22:07:01 UTC,P,,,2013-06-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Shelby Farms Park Conservancy,6903 Great View Dr,,N Memphis,TN,38134,,901-767-7275,E,,Public,Sunrise to Sunset,,,,,,10,,,Non-Networked,,GPS,35.140771,-89.834205,2024-09-12,52834,2024-09-12 16:47:34 UTC,LG,,,2016-09-01,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,Free,,,,,,,,,SOLAR,false,,,,,,,,LD,false,
